[LOG] System::create                           : Header version = 2.01.02. Current version = 2.01.02.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata (nil).
[LOG] SystemI::init                            : Initialize version=20102 (110199), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD ALSA Output'
[LOG] OutputALSA::registerLib                  : Loaded ALSA version 1.2.4.
[LOG] OutputALSA::enumerate                    : Found device NAME:null IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:samplerate IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:speexrate IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:jack IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:oss IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:pipewire IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:pulse IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:speex IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:upmix IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:vdownmix IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:default IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=1 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=2 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=3 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=4 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=5 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia_1,DEV=6 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:usbstream:CARD=NVidia_1 IOID:(null).
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=0 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=1 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=2 IOID:Output.
[LOG] OutputALSA::enumerate                    : Found device NAME:hdmi:CARD=NVidia,DEV=3 IOID:Output.
